event,time,distinct_id,$browser,$browser_version,$city,$current_url,$device_id,$initial_referrer,$initial_referring_domain,$insert_id,$lib_version,$mp_api_endpoint,$mp_api_timestamp_ms,$os,$region,$screen_height,$screen_width,env,guest,legalGuardianUuid,mp_country_code,mp_lib,mp_processing_time_ms,mp_sent_by_lib_version,student,user,grades,pluginCode,$user_id,campus_code,institution_code,name,school_id,$referrer,$referring_domain,$search_engine,$device,fbclid,$anon_id,$identified_id,$distinct_id_before_identity,$is_reshuffled,$failure_description,$failure_reason,audiovisual_label_id,date,data_source
login,2025-07-04 15:52:36,e398f768-21f1-4928-ade9-7522837a6b48,Chrome,138.0,West Springfield,https://colombia.explorador.com/login,197d7a3b4be586-0cd72f57baaa308-26011151-3c0500-197d7a3b4be586,$direct,$direct,yixa9t910em8wo3q,2.55.1,api-js.mixpanel.com,1751669558151,Windows,Massachusetts,1280,3073,production,False,,US,web,1751669558290,2.55.1,no-student-selected,e398f768-21f1-4928-ade9-7522837a6b48,,,e398f768-21f1-4928-ade9-7522837a6b48,,,,,,,,,,,,,,,,,2025-07-04,mixpanel
click_school_pin,2025-07-04 15:52:53,e398f768-21f1-4928-ade9-7522837a6b48,Chrome,138.0,West Springfield,https://colombia.explorador.com/,197d7a3b4be586-0cd72f57baaa308-26011151-3c0500-197d7a3b4be586,$direct,$direct,pebn3wfpwaj6yzcc,2.55.1,api-js.mixpanel.com,1751669573364,Windows,Massachusetts,1280,3073,production,False,dd87a751-5164-4619-a23c-09e5aa50670d,US,web,1751669573418,2.55.1,no-student-selected,e398f768-21f1-4928-ade9-7522837a6b48,,,e398f768-21f1-4928-ade9-7522837a6b48,311848003102,311848003102,Jardin Infantil Periquito,a9930aff-4d25-4936-9295-ff4426ba0e8c,,,,,,,,,,,,,2025-07-04,mixpanel
remove_favorite_school_from_list,2025-07-04 15:52:57,e398f768-21f1-4928-ade9-7522837a6b48,Chrome,138.0,West Springfield,https://colombia.explorador.com/,197d7a3b4be586-0cd72f57baaa308-26011151-3c0500-197d7a3b4be586,$direct,$direct,rqe44h2n7mehk63n,2.55.1,api-js.mixpanel.com,1751669578571,Windows,Massachusetts,1280,3073,production,False,dd87a751-5164-4619-a23c-09e5aa50670d,US,web,1751669578647,2.55.1,no-student-selected,e398f768-21f1-4928-ade9-7522837a6b48,,,e398f768-21f1-4928-ade9-7522837a6b48,311848003102,311848003102,Jardin Infantil Periquito,a9930aff-4d25-4936-9295-ff4426ba0e8c,,,,,,,,,,,,,2025-07-04,mixpanel
menu_favorites,2025-07-04 15:53:01,e398f768-21f1-4928-ade9-7522837a6b48,Chrome,138.0,West Springfield,https://colombia.explorador.com/,197d7a3b4be586-0cd72f57baaa308-26011151-3c0500-197d7a3b4be586,$direct,$direct,utgq2f5jeagr3rg3,2.55.1,api-js.mixpanel.com,1751669583717,Windows,Massachusetts,1280,3073,production,False,dd87a751-5164-4619-a23c-09e5aa50670d,US,web,1751669583778,2.55.1,no-student-selected,e398f768-21f1-4928-ade9-7522837a6b48,,,e398f768-21f1-4928-ade9-7522837a6b48,,,,,,,,,,,,,,,,,2025-07-04,mixpanel
remove_favorite_school_from_listFavorites,2025-07-04 15:53:01,e398f768-21f1-4928-ade9-7522837a6b48,Chrome,138.0,West Springfield,https://colombia.explorador.com/favorites,197d7a3b4be586-0cd72f57baaa308-26011151-3c0500-197d7a3b4be586,$direct,$direct,ueynvy8g54fruinj,2.55.1,api-js.mixpanel.com,1751669583717,Windows,Massachusetts,1280,3073,production,False,dd87a751-5164-4619-a23c-09e5aa50670d,US,web,1751669583778,2.55.1,no-student-selected,e398f768-21f1-4928-ade9-7522837a6b48,,,e398f768-21f1-4928-ade9-7522837a6b48,311848003102,311848003102,,a9930aff-4d25-4936-9295-ff4426ba0e8c,,,,,,,,,,,,,2025-07-04,mixpanel
remove_favorite_school_from_listFavorites,2025-07-04 15:53:01,e398f768-21f1-4928-ade9-7522837a6b48,Chrome,138.0,West Springfield,https://colombia.explorador.com/favorites,197d7a3b4be586-0cd72f57baaa308-26011151-3c0500-197d7a3b4be586,$direct,$direct,cmhr93gp03pr3rci,2.55.1,api-js.mixpanel.com,1751669583717,Windows,Massachusetts,1280,3073,production,False,dd87a751-5164-4619-a23c-09e5aa50670d,US,web,1751669583779,2.55.1,no-student-selected,e398f768-21f1-4928-ade9-7522837a6b48,,,e398f768-21f1-4928-ade9-7522837a6b48,311848003102,311848003102,,a9930aff-4d25-4936-9295-ff4426ba0e8c,,,,,,,,,,,,,2025-07-04,mixpanel
remove_favorite_school_from_listFavorites,2025-07-04 15:53:03,e398f768-21f1-4928-ade9-7522837a6b48,Chrome,138.0,West Springfield,https://colombia.explorador.com/favorites,197d7a3b4be586-0cd72f57baaa308-26011151-3c0500-197d7a3b4be586,$direct,$direct,iwyhwagcwm0gbew8,2.55.1,api-js.mixpanel.com,1751669583717,Windows,Massachusetts,1280,3073,production,False,dd87a751-5164-4619-a23c-09e5aa50670d,US,web,1751669583779,2.55.1,no-student-selected,e398f768-21f1-4928-ade9-7522837a6b48,,,e398f768-21f1-4928-ade9-7522837a6b48,311848003102,311848003102,,a9930aff-4d25-4936-9295-ff4426ba0e8c,,,,,,,,,,,,,2025-07-04,mixpanel
favorite_school_from_listFavorites,2025-07-04 15:53:03,e398f768-21f1-4928-ade9-7522837a6b48,Chrome,138.0,West Springfield,https://colombia.explorador.com/favorites,197d7a3b4be586-0cd72f57baaa308-26011151-3c0500-197d7a3b4be586,$direct,$direct,0ea323pw2y80ysxf,2.55.1,api-js.mixpanel.com,1751669583717,Windows,Massachusetts,1280,3073,production,False,dd87a751-5164-4619-a23c-09e5aa50670d,US,web,1751669583778,2.55.1,no-student-selected,e398f768-21f1-4928-ade9-7522837a6b48,,,e398f768-21f1-4928-ade9-7522837a6b48,341001005679,341001005679,,86376569-1bc3-4adb-ba3f-7034e2ff10ca,,,,,,,,,,,,,2025-07-04,mixpanel
favorite_school_from_listFavorites,2025-07-04 15:53:03,e398f768-21f1-4928-ade9-7522837a6b48,Chrome,138.0,West Springfield,https://colombia.explorador.com/favorites,197d7a3b4be586-0cd72f57baaa308-26011151-3c0500-197d7a3b4be586,$direct,$direct,9eq0e1huxjoauc4w,2.55.1,api-js.mixpanel.com,1751669583717,Windows,Massachusetts,1280,3073,production,False,dd87a751-5164-4619-a23c-09e5aa50670d,US,web,1751669583779,2.55.1,no-student-selected,e398f768-21f1-4928-ade9-7522837a6b48,,,e398f768-21f1-4928-ade9-7522837a6b48,105059000116,105059000116,,738c141a-4936-4685-b7d1-81e305208a1d,,,,,,,,,,,,,2025-07-04,mixpanel
favorite_school_from_listFavorites,2025-07-04 15:53:03,e398f768-21f1-4928-ade9-7522837a6b48,Chrome,138.0,West Springfield,https://colombia.explorador.com/favorites,197d7a3b4be586-0cd72f57baaa308-26011151-3c0500-197d7a3b4be586,$direct,$direct,t7ah1wymu2lllq3s,2.55.1,api-js.mixpanel.com,1751669583717,Windows,Massachusetts,1280,3073,production,False,dd87a751-5164-4619-a23c-09e5aa50670d,US,web,1751669583779,2.55.1,no-student-selected,e398f768-21f1-4928-ade9-7522837a6b48,,,e398f768-21f1-4928-ade9-7522837a6b48,325290002151,325290002151,,5d2976e5-7612-4616-8209-5c94da81c574,,,,,,,,,,,,,2025-07-04,mixpanel
