favorite_rank,id,user,campus_code,institution_code,time,modified,table_source,data_source
4,20312,a5598835-139e-4fee-b07b-ba2ee99c9230,11001_P116_2,11001_P116,2025-07-11 14:18:15.194415+00:00,2025-07-11 14:18:15.194416+00:00,institutions_favorite_campus,postgresql
3,20311,a5598835-139e-4fee-b07b-ba2ee99c9230,311001002428,311001002428,2025-07-11 13:52:42.971887+00:00,2025-07-11 13:52:42.971888+00:00,institutions_favorite_campus,postgresql
35,20310,217bd927-48f9-49f0-a3b9-00b29f0dd049,11001_JP_167,11001_JP_167,2025-07-11 13:47:25.317918+00:00,2025-07-11 13:47:25.317919+00:00,institutions_favorite_campus,postgresql
34,20309,217bd927-48f9-49f0-a3b9-00b29f0dd049,111001096580,111001044270,2025-07-11 13:17:21.127138+00:00,2025-07-11 13:17:21.127140+00:00,institutions_favorite_campus,postgresql
33,20308,217bd927-48f9-49f0-a3b9-00b29f0dd049,110011125991,110011125991,2025-07-11 13:17:10.689871+00:00,2025-07-11 13:17:10.689872+00:00,institutions_favorite_campus,postgresql
2,20307,a5598835-139e-4fee-b07b-ba2ee99c9230,311001004528,311001004528,2025-07-11 13:14:39.556153+00:00,2025-07-11 13:14:39.556154+00:00,institutions_favorite_campus,postgresql
32,20306,217bd927-48f9-49f0-a3b9-00b29f0dd049,1100100124214,1100100124214,2025-07-11 13:11:59.817536+00:00,2025-07-11 13:11:59.817537+00:00,institutions_favorite_campus,postgresql
31,20305,217bd927-48f9-49f0-a3b9-00b29f0dd049,11001_JP_305,11001_JP_305,2025-07-11 13:07:58.215122+00:00,2025-07-11 13:07:58.215123+00:00,institutions_favorite_campus,postgresql
30,20304,217bd927-48f9-49f0-a3b9-00b29f0dd049,11001_JP_606,11001_JP_606,2025-07-11 12:59:25.660563+00:00,2025-07-11 12:59:25.660564+00:00,institutions_favorite_campus,postgresql
29,20303,217bd927-48f9-49f0-a3b9-00b29f0dd049,111001107751,111001076201,2025-07-11 12:49:36.315978+00:00,2025-07-11 12:49:36.315979+00:00,institutions_favorite_campus,postgresql
1,20302,a5598835-139e-4fee-b07b-ba2ee99c9230,311001019568,311001019568,2025-07-11 12:48:30.155489+00:00,2025-07-11 12:48:30.155491+00:00,institutions_favorite_campus,postgresql
28,20301,217bd927-48f9-49f0-a3b9-00b29f0dd049,110011126386,110011126386,2025-07-11 12:45:13.606911+00:00,2025-07-11 12:45:13.606912+00:00,institutions_favorite_campus,postgresql
27,20300,217bd927-48f9-49f0-a3b9-00b29f0dd049,111001094439,111001094439,2025-07-10 21:05:02.136115+00:00,2025-07-10 21:05:02.136117+00:00,institutions_favorite_campus,postgresql
26,20299,217bd927-48f9-49f0-a3b9-00b29f0dd049,311001097721,311001097721,2025-07-10 20:55:39.223160+00:00,2025-07-10 20:55:39.223162+00:00,institutions_favorite_campus,postgresql
25,20298,217bd927-48f9-49f0-a3b9-00b29f0dd049,110011120961,110011120961,2025-07-10 20:47:49.545350+00:00,2025-07-10 20:47:49.545351+00:00,institutions_favorite_campus,postgresql
24,20297,217bd927-48f9-49f0-a3b9-00b29f0dd049,111001075591,111001030872,2025-07-10 20:37:31.968295+00:00,2025-07-10 20:37:31.968296+00:00,institutions_favorite_campus,postgresql
23,20296,217bd927-48f9-49f0-a3b9-00b29f0dd049,1100100135529,1100100135529,2025-07-10 20:30:25.853227+00:00,2025-07-10 20:30:25.853228+00:00,institutions_favorite_campus,postgresql
22,20295,217bd927-48f9-49f0-a3b9-00b29f0dd049,1100100124209,1100100124209,2025-07-10 20:27:53.930766+00:00,2025-07-10 20:27:53.930767+00:00,institutions_favorite_campus,postgresql
21,20294,217bd927-48f9-49f0-a3b9-00b29f0dd049,110011150607,110011150607,2025-07-10 20:23:14.180201+00:00,2025-07-10 20:23:14.180202+00:00,institutions_favorite_campus,postgresql
5,20293,3cb802a7-0b26-4b66-bb06-93a8f1122b2e,11001_JP_805,11001_JP_805,2025-07-10 20:08:57.102621+00:00,2025-07-10 20:08:57.102623+00:00,institutions_favorite_campus,postgresql
4,20292,3cb802a7-0b26-4b66-bb06-93a8f1122b2e,11001_JP_511,11001_JP_511,2025-07-10 20:07:27.530630+00:00,2025-07-10 20:07:27.530631+00:00,institutions_favorite_campus,postgresql
3,20291,3cb802a7-0b26-4b66-bb06-93a8f1122b2e,121365,121365,2025-07-10 20:07:10.000575+00:00,2025-07-10 20:07:10.000576+00:00,institutions_favorite_campus,postgresql
