time,modified,id,user,favorite_rank_action,favorite_added,favorite_removed,campus_code,institution_code,table_source,data_source,event
2025-07-10 15:14:11.633130+00:00,2025-07-10 15:14:11.633132+00:00,47499,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,11001_JP_167,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 15:08:55.754666+00:00,2025-07-10 15:08:55.754668+00:00,47498,19a9154a-7acf-48f7-92f5-808171e3e01b,UP,False,False,311001100764,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 15:08:55.732927+00:00,2025-07-10 15:08:55.732929+00:00,47497,19a9154a-7acf-48f7-92f5-808171e3e01b,UP,False,False,311001008680,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 15:08:55.707693+00:00,2025-07-10 15:08:55.707695+00:00,47496,19a9154a-7acf-48f7-92f5-808171e3e01b,,False,True,311001106657,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 15:08:47.273089+00:00,2025-07-10 15:08:47.273092+00:00,47495,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,1100100133990,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 15:08:29.182823+00:00,2025-07-10 15:08:29.182825+00:00,47494,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,1100100131655,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 15:07:08.778218+00:00,2025-07-10 15:07:08.778221+00:00,47493,19a9154a-7acf-48f7-92f5-808171e3e01b,UP,False,False,311001100764,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 15:07:08.759595+00:00,2025-07-10 15:07:08.759599+00:00,47492,19a9154a-7acf-48f7-92f5-808171e3e01b,UP,False,False,311001008680,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 15:07:08.742240+00:00,2025-07-10 15:07:08.742241+00:00,47491,19a9154a-7acf-48f7-92f5-808171e3e01b,UP,False,False,311001106657,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 15:07:08.724211+00:00,2025-07-10 15:07:08.724213+00:00,47490,19a9154a-7acf-48f7-92f5-808171e3e01b,UP,False,False,11001_P63_1,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 15:07:08.705130+00:00,2025-07-10 15:07:08.705132+00:00,47489,19a9154a-7acf-48f7-92f5-808171e3e01b,UP,False,False,311001100101,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 15:07:08.684494+00:00,2025-07-10 15:07:08.684495+00:00,47488,19a9154a-7acf-48f7-92f5-808171e3e01b,,False,True,11001_JP_160,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 15:06:42.466231+00:00,2025-07-10 15:06:42.466233+00:00,47487,19a9154a-7acf-48f7-92f5-808171e3e01b,DOWN,True,False,311001100764,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 15:06:39.675994+00:00,2025-07-10 15:06:39.675996+00:00,47486,19a9154a-7acf-48f7-92f5-808171e3e01b,DOWN,True,False,311001008680,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 15:06:33.999803+00:00,2025-07-10 15:06:33.999805+00:00,47485,19a9154a-7acf-48f7-92f5-808171e3e01b,DOWN,True,False,311001106657,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 15:03:32.177387+00:00,2025-07-10 15:03:32.177389+00:00,47484,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,311001089124,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 14:57:51.546425+00:00,2025-07-10 14:57:51.546428+00:00,47483,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,11001_JP_382,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 14:53:28.795584+00:00,2025-07-10 14:53:28.795586+00:00,47482,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,11001_JP_392,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 14:48:15.674654+00:00,2025-07-10 14:48:15.674656+00:00,47481,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,311001076014,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 14:45:10.624585+00:00,2025-07-10 14:45:10.624587+00:00,47480,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,110011120154,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 14:41:14.185087+00:00,2025-07-10 14:41:14.185090+00:00,47479,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,411001086561,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 14:35:23.144471+00:00,2025-07-10 14:35:23.144474+00:00,47478,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,121546,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 14:33:17.819039+00:00,2025-07-10 14:33:17.819041+00:00,47477,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,122147,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 14:32:42.770528+00:00,2025-07-10 14:32:42.770530+00:00,47476,19a9154a-7acf-48f7-92f5-808171e3e01b,DOWN,True,False,11001_P63_1,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 14:32:37.104476+00:00,2025-07-10 14:32:37.104478+00:00,47475,19a9154a-7acf-48f7-92f5-808171e3e01b,DOWN,True,False,311001100101,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 14:32:31.989353+00:00,2025-07-10 14:32:31.989356+00:00,47474,19a9154a-7acf-48f7-92f5-808171e3e01b,DOWN,True,False,11001_JP_160,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 14:32:24.657721+00:00,2025-07-10 14:32:24.657723+00:00,47473,19a9154a-7acf-48f7-92f5-808171e3e01b,DOWN,True,False,11001_P79_1,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 14:29:59.673759+00:00,2025-07-10 14:29:59.673761+00:00,47472,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,1100100135637,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 14:25:43.617535+00:00,2025-07-10 14:25:43.617537+00:00,47471,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,311001007403,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 14:17:22.323707+00:00,2025-07-10 14:17:22.323709+00:00,47470,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,111001046914,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 14:06:02.234012+00:00,2025-07-10 14:06:02.234016+00:00,47469,19a9154a-7acf-48f7-92f5-808171e3e01b,DOWN,True,False,311001108595,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 14:06:00.259223+00:00,2025-07-10 14:06:00.259224+00:00,47468,19a9154a-7acf-48f7-92f5-808171e3e01b,DOWN,True,False,311001031169,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-10 14:05:58.147206+00:00,2025-07-10 14:05:58.147208+00:00,47467,19a9154a-7acf-48f7-92f5-808171e3e01b,DOWN,True,False,110011140119,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
